Quarter,Airports,Passengers (Number),Passengers Trend (Number),Passengers (Seasonally Adjusted) (Number)
2023Q1,Cork,498841,,680000
2023Q1,Dublin,6589570,,8182288
2023Q1,Kerry,72347,,100300
2023Q1,Knock,132657,,198600
2023Q1,Shannon,328493,,470236
2023Q2,Cork,791720,,703000
2023Q2,Dublin,9057126,,8290383
2023Q2,Kerry,117608,,105241
2023Q2,Knock,230010,,201700
2023Q2,Shannon,546423,,475657
2023Q3,Cork,866942,,672000
2023Q3,Dublin,9928539,,8363105
2023Q3,Kerry,133729,,107182
2023Q3,Knock,268345,,202500
2023Q3,Shannon,601388,,467247
